구분,죄종,발생검거,건수
구로구,강도,검거,9
구로구,강간,발생,250
구로구,강간,검거,181
구로구,절도,발생,1717
구로구,절도,검거,787
구로구,폭력,발생,2826
구로구,폭력,검거,2353
서초구,살인,발생,5
서초구,살인,검거,5
서초구,강도,발생,4
서초구,강도,검거,4
서초구,강간,발생,407
서초구,강간,검거,274
서초구,절도,발생,1482
서초구,절도,검거,673
서초구,폭력,발생,1908
서초구,폭력,검거,1597
양천구,살인,발생,2
양천구,살인,검거,3
양천구,강도,발생,4
양천구,강도,검거,14
양천구,강간,발생,120
양천구,강간,검거,111
양천구,절도,발생,1384
양천구,절도,검거,646
양천구,폭력,발생,2005
양천구,폭력,검거,1685
송파구,살인,발생,5
송파구,살인,검거,6
송파구,강도,발생,6
송파구,강도,검거,8
송파구,강간,발생,309
송파구,강간,검거,254
송파구,절도,발생,2352
송파구,절도,검거,1034
송파구,폭력,발생,3135
송파구,폭력,검거,2749
노원구,살인,발생,5
노원구,살인,검거,4
노원구,강도,발생,5
노원구,강도,검거,5
노원구,강간,발생,194
노원구,강간,검거,173
노원구,절도,발생,1422
노원구,절도,검거,585
노원구,폭력,발생,2381
노원구,폭력,검거,1958
방배,살인,발생,0
방배,살인,검거,0
방배,강도,발생,1
방배,강도,검거,1
방배,강간,발생,63
방배,강간,검거,41
방배,절도,발생,369
방배,절도,검거,165
방배,폭력,발생,487
방배,폭력,검거,423
은평구,살인,발생,4
은평구,살인,검거,4
은평구,강도,발생,1
은평구,강도,검거,1
은평구,강간,발생,130
은평구,강간,검거,117
은평구,절도,발생,773
은평구,절도,검거,491
은평구,폭력,발생,1308
은평구,폭력,검거,1158
도봉구,살인,발생,1
도봉구,살인,검거,1
도봉구,강도,발생,5
도봉구,강도,검거,3
도봉구,강간,발생,113
도봉구,강간,검거,117
도봉구,절도,발생,781
도봉구,절도,검거,431
도봉구,폭력,발생,1349
도봉구,폭력,검거,1124
수서,살인,발생,5
수서,살인,검거,5
수서,강도,발생,5
수서,강도,검거,2
수서,강간,발생,194
수서,강간,검거,171
수서,절도,발생,984
수서,절도,검거,481
수서,폭력,발생,1697
수서,폭력,검거,1443
