공원명,지역,공원주소,위도,경도,행정동
용왕산근린공원,양천구,서울특별시 양천구 목동 199-51,126.8783125,37.5429593,목동
사직근린공원,종로구,서울특별시 종로구 사직로9길 5,126.9674018,37.5759864,사직동
우장산근린공원,강서구,서울특별시 강서구 내발산동 산4-5,126.844932,37.5541932,내발산동
삼일근린공원,동작구,서울특별시 동작구 사당동 산24-17,126.9743686,37.4860183,사당동
삼청근린공원,종로구,서울특별시 종로구 북촌로 134-1 (우) 03050,126.9842875,37.5895821,삼청동
인왕산도시자연공원,종로구,서울특별시 종로구 옥인동 산 3-1 ,126.9578438,37.5849001,옥인동
상도근린공원,동작구,서울특별시 동작구 성대로6사길 27-6(상도공원) ,126.9385469,37.492299,상도동
일자산도시자연공원,강동구,서울특별시 강동구 동남로 660(일자산공원),127.1574587,37.5431657,둔촌동
쌍문근린공원,도봉구,서울특별시 도봉구 쌍문동 산80,127.0271316,37.6531456,쌍문동
수락산도시자연공원,노원구,서울특별시 노원구 상계동 산3-1,127.0813633,37.699232,상계동
송파나루근린공원(석촌호수),송파구,서울특별시 송파구 잠실로 148 (잠실동) ,127.0983002,37.5069328,잠실동
선유도근린공원,영등포구,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,126.90014,37.543418,당산동
손기정체육공원,중구,서울특별시 중구 손기정로 101 ,126.9652702,37.5560189,만리동2가
성북근린공원,성북구,서울특별시 성북구 돈암동 616-1055,127.0078625,37.5948509,돈암동
봉제산공원,강서구,서울특별시 강서구 화곡동 산41-6,126.8517836,37.5421979,화곡동
서울창포원,도봉구,서울특별시 도봉구 마들로 916(서울창포원) ,127.047938,37.689585,도봉동
북서울꿈의숲,강북구,서울특별시 강북구 월계로 173,127.0407344,37.6233355,번동
서서울호수공원,양천구,서울특별시 양천구 남부순환로64길 20 (신월동),126.8304789,37.5278392,신월동
중랑캠핑숲,중랑구,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),127.1093075,37.6049896,망우동
솔밭근린공원,강북구,서울특별시 강북구 우이동 80번지 일대,127.0116241,37.652331,우이동
금천체육공원(관악산),금천구,서울특별시 금천구 독산동 산118-4(금천체육공원),126.908681,37.468164,독산동
금천폭포근린공원,금천구,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),126.9040127,37.4468663,시흥동
만수천공원(관악산),금천구,서울특별시 금천구 독산동 산8 일대,126.9090028,37.4734274,독산동
발바닥공원,도봉구,서울특별시 도봉구 시루봉로6길 33,127.031982,37.6597135,방학동
월천근린공원,도봉구,서울특별시 도봉구 창동 28번지,127.0509895,37.6473889,창동
용두근린공원,동대문구,서울특별시 동대문구 용두동 34-1번지 일대,127.0390042,37.5732791,용두동
상암근린공원,마포구,서울특별시 마포구 상암동 1761,126.8859012,37.5760106,상암동
와우근린공원,마포구,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),126.9289936,37.5517298,창천동
금호근린공원,성동구,서울특별시 성동구 장터1길 18,127.0189457,37.5494726,금호동3가
달맞이근린공원,성동구,서울특별시 성동구 옥수동 산1-1,127.0212054,37.543564,옥수동
문정근린공원,송파구,서울특별시 송파구 문정동 18-4,127.1275819,37.4862156,문정동
문화예술공원,서초구,서울특별시 서초구 바우뫼로12길 40 (양재동),127.030517,37.467654,양재동
세종로공원,종로구,서울특별시 종로구 세종대로 189 (우) 03172,126.9758875,37.5735,세종로
샘말공원(관악산),관악구,서울특별시 관악구 대학동 산63-1일대 샘말공원,126.938511,37.4642128,대학동
초안산생태공원,도봉구,서울특별시 도봉구 창동 산24,127.0405382,37.6479483,창동
푸른수목원,구로구,서울특별시 구로구 연동로 240(항동81-1) 푸른수목원관리사무소,126.82407,37.483029,항동
서오능도시자연공원,은평구,서울특별시 은평구 구파발동 갈현동 진관내동,126.9134338,37.6374823,"구파발동, 갈현동, 진관내동"
청계산도시자연공원,서초구,서울특별시 서초구 원지동 산 33,127.0424726,37.4224347,원지동 
개화근린공원,강서구,서울특별시 강서구 개화동 산17,126.8068278,37.5813917,개화동
아차산생태공원,광진구,서울특별시 광진구 광장동 370,127.1010031,37.5517142,광장동
인능산도시자연공원,서초구,서울특별시 서초구 내곡동 산12-404,127.0666632,37.4482109,내곡동
구룡산,서초구,서울특별시 서초구 염곡동 산25-1,127.061567,37.4689473,염곡동
우면산도시자연공원,서초구,서울특별시 서초구 우면동 산35-1,127.0091324,37.470484,우면동
향림근린공원,은평구,서울특별시 은평구 진관동 산55,126.9240693,37.6293824,진관동
신사근린공원,은평구,서울특별시 은평구 신사동 산80-4,126.9102948,37.5920771,신사동
문화역 서울284,중구,서울특별시 중구 통일로 1 서울역,126.9715923,37.5558722,봉래동2가
광평근린공원,강남구,서울특별시 강남구 수서동 산10-1,127.092184,37.4880445,수서동
청담근린공원,강남구,서울특별시 강남구 청담동 66,127.052453,37.5213259,청담동
허브천문공원,강동구,서울특별시 강동구 둔촌동 산94,127.1533951,37.5372715,둔촌동
연신내물빛공원,은평구,서울특별시 은평구 통일로 849,126.9207354,37.619052,갈현동
나들이근린공원,중랑구,서울특별시 중구 망우동 산 30-7 일대,127.113261,37.6054218,망우동
숭인근린공원,종로구,서울특별시 종로구 숭인동 58,127.0178267,37.5764419,숭인동
서일대뒷산공원,중랑구,서울특별시 중랑구 면목동 산19,127.0987817,37.5877155,면목동
용마도시자연공원(사가정공원),중랑구,서울특별시 중랑구 면목7동 산50 ,127.095997,37.5797622,면목7동
문화비축기지,마포구,서울특별시 마포구 증산로 87,126.8932455,37.57171848,성산2동
경춘선숲길,노원구,노원구 공릉2동 산 82-2,127.076482,37.627077,공릉2동
율현공원,강남구,서울특별시 강남구 율현동 밤고개로24길(율현동 56),127.115594,37.472332,율현동
서울로7017,중구,서울 중구 청파로 432,,,봉래동2가
