전체,살인,강도,절도,폭력,성폭력,주소,위도,경도,지구대,관할구역
5,3,4,2,3,5,서울 종로구 동호로 407,37.5707202,127.001609,종로5가,"훈정동, 봉익동, 인의동, 연지동, 예지동, 원남동, 율곡로150, 율곡로154, 율곡로158, 율곡로160, 율곡로162, 율곡로164, 율곡로166, 율곡로168, 율곡로170, 율곡로172, 율곡로172-8,  율곡로172-10, 율곡로178, 율곡로172-7, 율곡로172-9, 율곡로174, 율곡로176, 율곡로180, 율곡로182, 율곡로184, 율곡로184-1, 창경궁로133, 창경궁로135, 창경궁로135-1, 창경궁로135-3, 창경궁로135-5, 창경궁로135-6, 창경궁로135-8, 창경궁로135-9,  창경궁로135-10, 창경궁로137, 창경궁로137-1, 창경궁로137-2, 창경궁로137-6, 창경궁로138, 창경궁로139, 창경궁로139-1, 창경궁로140, 창경궁로141, 창경궁로142, 창경궁로142-1, 창경궁로144, 창경궁로144-1,  창경궁로146, 창경궁로147, 창경궁로147-1, 창경궁로147-2, 창경궁로143, 창경궁로145, 창경궁로145-3, 창경궁로145-5, 창경궁로145-6, 창경궁로145-8, 창경궁로148, 창경궁로148-1, 창경궁로149, 창경궁로149-1, 창경궁로20길, 창경궁로16나길, 창경궁로18길, 창경궁로21길, 창경궁로21가길, 창경궁로22길, 동순라길78-3, 동순라길78-5, 동순라길78-7, 동순라길78-9, 동순라길78-11, 동순라길78-13, 동순라길80, 동순라길82-7, 동순라길72-9, 동순라길82-11, 동순라길84, 동순라길86-6, 동순라길86-11, 동순라길86-13, 동순라길94, 동순라길96, 동순라길96-1, 동순라길98, 동순라길106-1, 동순라길106-2, 동순라길106-4, 동순라길106-5, 동순라길106-7, 동순라길106-11, 동순라길110, 동순라길112, 동순라길126-2, 동순라길126-5, 동순라길126-3, 동순라길130, 묘동, 돈화문로26, 돈화문로32-1, 돈화문로34, 돈화문로36-1, 돈화문로38-1, 돈화문로38-2, 돈화문로40, 돈화문로42, 돈화문로48, 돈화문로50, 돈화문로52, 돈화문로54, 돈화문로56, 돈화문로56-1, 돈화문로58, 돈화문로60, 돈화문로60-1, 돈화문로60-2, 돈화문로62, 돈화문로62-1, 돈화문로64-4, 돈화문로64, 돈화문로64-3, 돈화문로8길, 율곡로8길, 율곡로10길, 돈화문로6가길, 와룡동, 율곡로102, 율곡로8길, 율곡로10길, 권농동, 연건동, 율곡로202, 율곡로202-7, 율곡로204, 율곡로208, 대학로45, 대학로47, 대학로51-1, 대학로53, 효제동, 대학로3, 대학로5, 대학로5-1, 대학로9, 대학로13, 대학로15, 대학로17, 대학로33, 대학로35, 대학로35-3,  대학로35-11, 대학로35-13, 대학로35-15, 대학로35-17, 대학로35-20, 대학로35-25, 대학로39, 대학로1길, 대학로3길, 종로33길, 종로3가, 종로4가, 종로5가, 대학로1, 대학로3, 종로203, 종로205, 종로207, 종로209, 종로209-1, 종로211, 종로211-1, 종로212, 종로213, 종로213-1, 종로214, 종로215, 종로217, 종로31길, 종로33길, 0동호로399, 동호로401-2, 동호로401, 동호로407"
4,1,3,3,4,5,서울 종로구 종로41나길 24-6,37.5729276,127.004847,효제,"효제동, 충신동, 종로5가, 종로6가, 연건동, 대학로44-3, 대학로44-5, 대학로46, 대학로48-1, 대학로48-2, 대학로48-3, 대학로48-4, 대학로48-8, 대학로48-9, 대학로48-11, 대학로50, 대학로50-1, 대학로50-2, 대학로52, 대학로54, 율곡로212, 율곡로212-1, 율곡로214, 율곡로14길, 이화동, 율곡로216, 율곡로218, 율곡로220, 율곡로220-1, 율곡로222, 율곡로224, 율곡로226, 율곡로228, 율곡로228-1, 율곡로230, 율곡로230-6, 율곡로230-10, 율곡로230-12, 율곡로14길, 율곡로16길"
4,2,1,4,4,5,서울 종로구 이화장2길 33,37.5785768,127.006013,대학로,"명륜2가, 대명길4, 대명길6, 대명길8, 대명길12, 대명길14, 대명길16, 대명길18, 대명길22, 대명길24, 대명길26, 대명길28, 대명길32, 대명길34, 대명길36, 대명길40, 대명길42, 대명길46, 창경궁로242-1, 창경궁로246, 창경궁로246-1, 창경궁로246-3, 창경궁로246-4, 창경궁로246-6, 창경궁로248, 창경궁로248-4, 창경궁로254, 창경궁로258-5, 창경궁로258-6, 창경궁로258-9, 창경궁로258-10, 창경궁로258-11, 창경궁로258-12, 창경궁로58-13, 창경궁로258-14, 창경궁로258-15, 창경궁로260, 창경궁로264, 창경궁로34길, 명륜4가동, 창경궁로227, 창경궁로229, 창경궁로229-3, 창경궁로229-4, 창경궁로229-5, 창경궁로229-6, 창경궁로229-8, 창경궁로231, 창경궁로231-2, 창경궁로233, 창경궁로235, 창경궁로2길6, 와룡동,  창경궁로185, 율곡로99, 권농동, 동숭동, 이화동, 연건동, 원남동, 창경궁로154, 창경궁로158, 창경궁로160, 창경궁로162, 창경궁로162-1, 창경궁로162-2, 창경궁로22길, 율곡로169, 율곡로171, 율곡로177, 율곡로183, 율곡로185, 율곡로187, 충신동, 율곡로233, 율곡로235, 율곡로19길"
2,1,2,2,2,1,서울 종로구 창신길 98,37.5759817,127.010507,덕산,창신2동
3,1,2,2,2,4,서울 종로구 성균관로 78,37.5892805,126.99759,명륜,"명륜1가, 명륜3가, 명륜2가, 명륜4가, 창경궁로227, 창경궁로229, 창경궁로229-4, 창경궁로229-5, 창경궁로229-3, 창경궁로229-6, 창경궁로229-8, 창경궁로231, 창경궁로231-2, 창경궁로233, 창경궁로235, 창경궁로27길"
1,1,1,1,1,2,서울 종로구 창경궁로 279,37.5860911,127.001383,혜화,혜화동
4,4,4,3,3,3,서울 종로구 지봉로13길 20-12,37.5784771,127.01353,창신,"창신1동, 창신3동, 숭인1동, 숭인2동"
4,1,3,3,4,4,서울 종로구 종로58가길 19,37.5726383,127.01697,동묘,"창신1동, 종로284, 종로290, 종로292, 종로300, 종로302, 종로304, 종로306, 종로308, 종로310, 종로312, 종로314, 종로316, 종로318, 종로320, 종로322, 종로324, 종로328, 종로330, 종로332, 종로334, 종로336, 종로338, 종로44길, 종로46길, 종로46가길, 종로48길, 종로50길, 종로50가길, 종로50나길, 종로50다길, 종로50라길, 종로52길, 종로54길, 지봉로1, 지봉로5, 지봉로6, 지봉로7, 지봉로8, 지봉로9, 지봉로10, 지봉로11, 지봉로12, 지봉로13, 지봉로19, 지봉로25, 지봉로29, 지봉로2길, 지봉로4길, 지봉로4가길, 청계천로345, 청계천로349, 청계천로355, 청계천로359, 청계천로363, 청계천로369, 숭인2동, 종로344, 종로346, 종로350, 종로352, 종로354, 종로356, 종로358, 종로360, 종로367, 종로368, 종로370, 종로372, 종로376, 종로378, 종로380, 종로394, 종로400, 종로408, 종로412, 종로56길, 종로58길, 종로58가길, 종로60길, 종로62길, 종로66길, 종로66가길, 청계천로383, 청계천로397, 청계천로407, 난계로233, 난계로237, 난계로241, 난계로243, 난계로247, 난계로251, 난계로255, 난계로257, 난계로259, 난계로25길, 난계로27길, 난계로29길, 난계로29가길, 지붕로20, 지붕로4길"
3,1,1,4,4,2,서울 종로구 세검정로 226,37.6000215,126.958431,세검정,"부암동, 홍지동, 신영동, 평창동, 북악산로267, 산6-15, 산6-21, 산6-58, 산6-60, 산6-69, 산6-78, 산6-81, 산6-118, 산6-11, 산6-132, 산6-384, 구기동, 홍지문길64, 진흥로22가길, 홍비봉1길, 홍지문길79, 진흥로438-10, 진흥로22길, 홍지문길69, 진흥로419, 진흥로22나길, 홍지문길69"
3,3,2,3,5,2,서울 종로구 평창문화로 46,37.604745,126.965404,평창,"평창동, 산1, 신영동, 구기동, 진흥로473, 진흥로473-1, 진흥로473-2, 진흥로473-3, 진흥로473-4, 진흥로473-5, 진흥로473-6, 진흥로473-7, 진흥로473-8, 진흥로473-9, 진흥로473-10, 진흥로473-11, 진흥로475, 진흥로477, 진흥로477-1, 진흥로477-2, 진흥로477-3, 진흥로477-4, 진흥로477-5, 진흥로477-6, 진흥로477-7, 진흥로477-8, 진흥로477-9, 진흥로477-10, 진흥로477-11, 진흥로477-12, 진흥로477-13, 진흥로483, 진흥로485, 진흥로487, 진흥로491, 진흥로493, 진흥로493-1, 진흥로493-2, 진흥로493-3, 진흥로493-4, 진흥로493-5, 진흥로493-6, 진흥로493-7, 진흥로493-8, 진흥로497, 진흥로497-1, 진흥로497-2, 진흥로497-3, 진흥로497-4, 진흥로497-5, 진흥로497-6, 진흥로497-7, 진흥로499, 진흥로503, 평창문화로5-1, 평창문화로5-2, 평창문화로5-3, 평창문화로5-4, 평창문화로9, 평창문화로11"
