Column1,새주소,지번주소,X,Y,콘텐츠 명,구명,상세정보 값 1
892,서울특별시 서대문구 연세로 50 (신촌동연세대학교),서울특별시 서대문구 신촌동 134번지 연세대학교,126.9367489,37.56052492,연세대학교 백양콘서트홀(구 백주년기념관),서대문구,공연장
893,서울특별시 종로구 창경궁로35길 21 (혜화동),서울특별시 종로구 혜화동 26-57번지,127.0018199,37.58693768,연우소극장,종로구,공연장
894,서울특별시 종로구 낙산길 14 (동숭동새마을금고),서울특별시 종로구 동숭동 31-9번지 새마을금고,127.0052411,37.58038193,연진아트홀 (구 챔프 예술극장),종로구,공연장
895,서울특별시 종로구 동숭길 130-5 (동숭동),서울특별시 종로구 동숭동 1-8번지,127.0031764,37.58383437,예그린씨어터,종로구,공연장
896,서울특별시 종로구 성균관로4길 19 (명륜2가동숭비즈니스센터),서울특별시 종로구 명륜2가 93번지 동숭비즈니스센터,126.9982389,37.58505594,예술공간 서울,종로구,공연장
898,서울특별시 종로구 대학로8가길 52 (동숭동),서울특별시 종로구 동숭동 1-48번지,127.0026108,37.58302083,예술공간 유비누리 앱질 전용관,종로구 ,공연장
899,서울특별시 마포구 잔다리로 32 (서교동서문빌딩),서울특별시 마포구 서교동 343-1번지 서문빌딩,126.9198137,37.5514911,예스24 무브홀 (구클럽 맨션),마포구,공연장
900,서울특별시 강남구 남부순환로378길 34-9 (도곡동도곡2동주민센터),서울특별시 강남구 도곡동 459번지 도곡2동주민센터,127.0463528,37.48379079,오유아트홀(도곡2소극장),강남구,공연장
901,서울특별시 종로구 세종대로 178 (세종로KT광화문빌딩WEST),서울특별시 종로구 세종로 100번지 KT광화문빌딩WEST,126.9775993,37.57218386,올레스퀘어(구 KT아트홀) 드림홀,종로구,공연장
902,서울특별시 송파구 올림픽로 424 (방이동올림픽공원),서울특별시 송파구 방이동 88번지 올림픽공원 올림픽공원,127.1150513,37.52055538,올림픽공원 88잔디마당,송파구,공연장
