지방청,경찰서,관서명,동,구분,주소,위도,경도
서울청,서울강남,청담,강남구,치안센터,서울 강남구 삼성로 761,37.5227079,127.0478622
서울청,서울강남,압구정,강남구,치안센터,서울 강남구 압구정로 33길 48,37.5297371,127.030708
서울청,서울관악,당곡,관악구,치안센터,서울 관악구 봉천로 279,37.4878071,126.9322902
서울청,서울관악,낙성대,관악구,치안센터,서울 관악구 남부순환로239길 8,37.4784229,126.9615247
서울청,서울관악,낙성대,관악구,치안센터,서울 관악구 인헌6길 23,37.4739189,126.9653631
서울청,서울관악,신림,관악구,치안센터,서울 관악구 신원로 311,37.4808996,126.9286026
서울청,서울관악,신림,관악구,치안센터,서울 관악구 문성로27길 12-15,37.4797902,126.9269818
서울청,서울관악,신림,관악구,치안센터,서울 관악구 참숯1길 3,37.4871899,126.9282102
서울청,서울관악,관악산,관악구,치안센터,서울 관악구 대학길 48,37.4685343,126.9375464
서울청,서울관악,관악산,관악구,치안센터,서울 관악구 호암로 501,37.4624576,126.931647
서울청,서울관악,구암,관악구,치안센터,서울 관악구 청림3마길 14-1,37.4910067,126.9580214
서울청,서울관악,난우,관악구,치안센터,서울 관악구 난곡로 180-1,37.4712153,126.9200048
서울청,서울강서,화곡,강서구,치안센터,서울 강서구 까치산로 51,37.5437429,126.8453693
서울청,서울강서,공항,강서구,치안센터,서울 강서구 개화동로 275-1,37.5794368,126.7998126
서울청,서울강동,천호,강동구,치안센터,서울 강동구 천호동 전중로 11-14,37.54627,127.1238384
서울청,서울강동,천호,강동구,치안센터,서울 강동구 천호동 천호대로 159길7,37.5378467,127.1275681
서울청,서울강동,길동,강동구,치안센터,서울 강동구 천호대로 197길 96,37.5401627,127.1477259
서울청,서울강동,암사,강동구,치안센터,서울 강동구 올림픽로 98가길 57,37.5514773,127.1326367
서울청,서울강동,암사,강동구,치안센터,서울 강동구 구면천로 42길 59,37.5301251,127.123762
서울청,서울강동,성내,강동구,치안센터,서울 강동구 천호옛길 68-1,37.5349431,127.1245831
서울청,서울강동,강일,강동구,치안센터,서울 강동구 고덕로 360,37.5564275,127.1656328
서울청,서울강동,명일,강동구,치안센터,서울 강동구 양재대로 138길37,37.5497246,127.1459682
서울청,서울종암,석관,성북구,치안센터,서울 성북구 한천로76길11,37.6112433,127.0632972
서울청,서울종암,장위,성북구,치안센터,서울 성북구 장위로 82,37.6137325,127.0457016
서울청,서울종암,장위,성북구,치안센터,서울 성북구 한천로 701,37.6193893,127.0537783
서울청,서울종암,월곡,북구,치안센터,서울 북구 화랑로 96,37.6028891,127.0427744
서울청,서울종암,월곡,성북구,치안센터,서울 성북구 삼양로2길 70,37.6067189,127.0272794
서울청,서울종암,종암,성북구,치안센터,서울 성북구 종암로 88,37.5981483,127.0350814
서울청,서울구로,신구로,구로구,치안센터,서울 구로구 경인로 577-1,37.5044158,126.8803973
서울청,서울구로,신구로,구로구,치안센터,서울 구로구 신도림로 40,37.5076903,126.8806945
서울청,서울구로,구일,구로구,치안센터,서울 구로구 구일로 52,37.4910886,126.8750892
서울청,서울구로,구일,구로구,치안센터,서울 구로구 구로동로 141,37.4912729,126.8833142
서울청,서울구로,고척,구로구,치안센터,서울 구로구 중앙로 3,37.4993719,126.861932
서울청,서울구로,고척,구로구,치안센터,서울 구로구 고척로27길 27,37.5031072,126.8469296
서울청,서울구로,개봉,구로구,치안센터,서울 구로구 경인로 293,37.4979613,126.8529324
서울청,서울구로,개봉,구로구,치안센터,서울 구로구 개봉로 1가길 28,37.4858032,126.8538182
서울청,서울구로,오류,구로구,치안센터,서울 구로구 부일로 1길 68,37.4934314,126.8188844
서울청,서울서초,반포,서초구,치안센터,서울 서초구 주흥15길 41,37.5077605,127.0171808
서울청,서울서초,반포,서초구,치안센터,서울 서초구 나루터로 38,37.5149258,127.0139557
서울청,서울서초,서초3,서초구,치안센터,서울 서초구 명달로 55,37.4823235,127.0044445
서울청,서울서초,내곡,서초구,치안센터,서울 서초구 염곡말길 9,37.4619252,127.0511758
서울청,서울서초,우면,서초구,치안센터,서울 서초구 바우뫼로 45,37.4718289,127.0271535
서울청,서울양천,목1,양천구,치안센터,서울 양천구 목동서로 11,37.5380238,126.8845172
서울청,서울양천,목2,양천구,치안센터,서울 양천구 목동중앙본로 27길 25,37.5441364,126.8689843
서울청,서울양천,목2,양천구목동중앙로23,치안센터,서울 양천구목동중앙로23,37.5323636,126.8683316
서울청,서울양천,신정2,양천구,치안센터,서울 양천구 목동동로 152,37.5191481,126.8705867
서울청,서울양천,신정2,양천구,치안센터,서울 양천구 오목로 175,37.5252984,126.8568989
