명칭,좌표주소,위도,경도,상세주소,상세내용
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 남부순환로112길 55,37.4769966,126.8930553,남부순환로112길 55,관리번호: T101
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 벚꽃로46길 5,37.482905,126.88274,벚꽃로46길 5,관리번호: T102
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 시흥대로101길 14-8,37.4643641,126.8964451,시흥대로101길 14-8,관리번호: T103
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 시흥대로149길 43,37.4750849,126.89559,시흥대로149길 43,관리번호: T104
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 독산로53길 23,37.4638132,126.9022103,독산로53길 23,관리번호: T105
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 시흥대로84나길 5,37.4604975,126.9017377,시흥대로84나길 5,관리번호: T106
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 독산로99길 35,37.4750744,126.90133,독산로99길 35,관리번호: T107
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 독산로87길 46,37.4744365,126.9026937,독산로 87길 46,관리번호: T108
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 시흥대로126길 20,37.4697069,126.8999751,시흥대로126길 20,관리번호: T109
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 독산로70라길 17-4,37.4679799,126.905049,독산로70라길 17-4,관리번호: T110
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 독산로86길 7,37.4726302,126.9037851,독산로86길 7,관리번호: T111
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 남부순환로126가길 19,37.4793304,126.9071006,남부순환로126가길 19,관리번호: T112
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 시흥대로56길 22,37.4525343,126.9029313,시흥대로56길 22,관리번호: T113
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 시흥대로54길 6,37.4517265,126.9032618,시흥대로54길 6,관리번호: T114
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 탑골로 60,37.4521744,126.9156775,탑골로60,관리번호: T115
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 금하로29길 30,37.4512434,126.9130022,금하로29길 30,관리번호: T116
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 시흥대로12길 28,37.4389068,126.9050569,시흥대로12길 28,관리번호: T117
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 시흥대로36길 40,37.4438489,126.9058178,시흥대로36길 40,관리번호: T118
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 독산로38길 81,37.4625002,126.9050023,독산로38길 81,관리번호: T119
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 독산로50마길 14-6,37.4606444,126.9112847,독산로50마길 14-6,관리번호: T120
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 독산로10길 32,37.4500322,126.9076117,독산로10길 32,관리번호: T121
