전체,살인,강도,절도,폭력,성폭력,구,주소,위도,경도,지구대,관할구역
4,2,1,2,1,4,도봉구,서울 도봉구 도봉로180나길 33,37.683981,127.049263,도봉2,"도봉2동, 도봉동"
2,1,4,2,1,3,도봉구,서울 도봉구 노해로 139,37.647471,127.025578,승미,"쌍문1동, 쌍문3동, 쌍문동"
2,2,2,1,1,2,은평구,서울 은평구 진흥로 200,37.608748,126.931835,녹번,녹번동
4,2,4,1,1,4,은평구,서울 은평구 은평터널로5길 6,37.591832,126.90536,신사,"신사동, 증산동, 수색동"
3,1,1,2,3,3,은평구,서울 은평구 은평로171,37.601618,126.926444,응암,응암동
1,3,3,3,2,1,은평구,서울 은평구 응암로 208,37.590505,126.91753,응암2,"응암로14길, 응암로16길, 가좌로9길, 불관천길, 응암로2길, 응암로4길, 응암로5길, 응암로7길, 응암로9길, 응암로13길, 응암로14길, 응암로16길"
4,4,2,1,1,3,은평구,서울 은평구 연서로 290,37.621389,126.926586,불광,"불광1동, 불광2동, 불광동"
5,3,3,3,1,5,은평구,서울 은평구 갈현로 195,37.615182,126.912671,연신내,"갈현1동, 갈현2동, 갈현동, 구산동"
1,1,1,1,1,1,은평구,서울 은평구 진관3로 38,37.639913,126.920888,진관,진관동
2,2,3,1,1,2,은평구,서울 은평구 연서로 61,37.604576,126.915084,역촌,역촌동
3,2,3,1,1,4,은평구,서울 은평구 통일로 737,37.611115,126.929002,대조,대조동
