No,관리기관명,카메라대수,위도,경도,지번주소,도로명주소
54,관악구청,1,37.46569065,126.9171947,서울특별시 관악구 신림동 685-60,서울특별시 관악구 난곡로11길 35
55,관악구청,1,37.46595976,126.91723,서울특별시 관악구 신림동 산 105-12,서울특별시 관악구 난곡로11길 40
56,관악구청,1,37.47739069,126.922718,서울특별시 관악구 신림동 산 124-6,서울특별시 관악구 법원단지5길 94
57,관악구청,1,37.47771547,126.9221625,서울특별시 관악구 신림동 산 124-6,서울특별시 관악구 법원단지5라길 12
58,관악구청,1,37.46879472,126.9130441,서울특별시 관악구 신림동 737-1,서울특별시 관악구 문성로16다길 133-69
59,관악구청,1,37.46663318,126.9140531,서울특별시 관악구 신림동 산 117-7,서울특별시 관악구 문성로16다길 133-69
60,관악구청,1,37.46823737,126.9264493,서울특별시 관악구 신림동 336-8,서울특별시 관악구 난곡로26길 135
61,관악구청,1,37.46833633,126.9259133,서울특별시 관악구 신림동 336-8,서울특별시 관악구 난곡로26길 135
62,관악구청,1,37.46909557,126.969963,서울특별시 관악구 봉천동 산 3-8,서울특별시 관악구 인헌길 169-21
63,관악구청,1,37.46331438,126.9272212,서울특별시 관악구 신림동 1713-6,서울특별시 관악구 광신길 86
64,관악구청,1,37.48890915,126.9381012,서울특별시 관악구 봉천동 산 104-9,서울특별시 관악구 국회단지9길 39
65,관악구청,1,37.48935129,126.9379689,서울특별시 관악구 봉천동 산 104-9,서울특별시 관악구 봉천로23길 90
66,관악구청,1,37.48929225,126.938343,서울특별시 관악구 봉천동 산 104-9,서울특별시 관악구 봉천로23길 92
67,관악구청,1,37.48438675,126.9484749,서울특별시 관악구 봉천동 890-1,서울특별시 관악구 봉천로41길 38
68,관악구청,1,37.48430156,126.9481866,서울특별시 관악구 봉천동 890-1,서울특별시 관악구 봉천로41길 31
69,관악구청,1,37.46831654,126.9456034,서울특별시 관악구 신림동 210,서울특별시 관악구 신림로 23
70,관악구청,1,37.46824624,126.945476,서울특별시 관악구 신림동 210,서울특별시 관악구 신림로 23
71,관악구청,1,37.46185796,126.9479584,서울특별시 관악구 신림동 205-1,서울특별시 관악구 관악산나들길 66
72,관악구청,1,37.4609092,126.9481996,서울특별시 관악구 신림동 205-1,서울특별시 관악구 관악로 1
73,관악구청,2,37.45796926,126.9464133,서울특별시 관악구 신림동 산 50-17,서울특별시 관악구 관악산나들길 119
74,관악구청,1,37.45560656,126.9453963,서울특별시 관악구 신림동 산 50-20,서울특별시 관악구 관악산나들길 149
75,관악구청,1,37.47969721,126.9372032,서울특별시 관악구 봉천동 산 151-138,서울특별시 관악구 장군봉길 92-40
76,관악구청,1,37.47983361,126.9363697,서울특별시 관악구 신림동 산 164-5,서울특별시 관악구 장군봉길 92-40
77,관악구청,1,37.48048489,126.9368633,서울특별시 관악구 봉천동 산 151-139,서울특별시 관악구 장군봉길 92-40
78,관악구청,1,37.47369949,126.9326583,서울특별시 관악구 신림동 395-71,서울특별시 관악구 방천길 29
79,관악구청,1,37.47177181,126.9790536,서울특별시 관악구 남현동 602-143,서울특별시 관악구 승방1길 79
80,관악구청,1,37.48472219,126.9448623,서울특별시 관악구 봉천동 900-64,서울특별시 관악구 봉천로33가길 19-13
81,관악구청,1,37.49274898,126.9350922,서울특별시 관악구 봉천동 산 133-10,서울특별시 관악구 당곡2길 113
82,관악구청,1,37.47331235,126.9236363,서울특별시 관악구 신림동 1678-12,서울특별시 관악구 법원단지20길 31
83,관악구청,1,37.4667325,126.9237165,서울특별시 관악구 신림동 산 90-3,서울특별시 관악구 난곡로24바길 42-5
84,관악구청,1,37.46985456,126.9778824,서울특별시 관악구 남현동 산 57-4,서울특별시 관악구 승방1길 109-42
85,관악구청,1,37.45641695,126.9461288,서울특별시 관악구 신림동 산 56-2,서울특별시 관악구 관악산나들길 149
86,관악구청,1,37.46924978,126.9126727,서울특별시 관악구 신림동 산 117-3,서울특별시 관악구 문성로16다길 135
87,관악구청,1,37.48097851,126.916495,서울특별시 관악구 신림동 1707-1,서울특별시 관악구 난곡로64가길 21
